budget_for,year,head_title,level_code,total_actuals,total_estimate_py,total_revised_py,total_estimate_cy,level_col,head_title_updated,level_num,min_level,ref_id,display_title,category,slug
police,2022-23,capital outlay on police__null__state police,4055__0__207,31.3483,169.1845,169.2345,426.9845,level_3,capital outlay on police__state police,3,3,1315,Capital Outlay On Police -> State Police,capital outlay,capital_outlay_on_police_state_police
police,2018-19,capital outlay on police__null__police housing,4055__0__211,0.579,1.19,1.19,26.19,level_3,capital outlay on police__police housing,3,3,1316,Capital Outlay On Police -> Police Housing,capital outlay,capital_outlay_on_police_police_housing
police,2019-20,capital outlay on police__null__police housing,4055__0__211,0,26.19,26.19,6.75,level_3,capital outlay on police__police housing,3,3,1317,Capital Outlay On Police -> Police Housing,capital outlay,capital_outlay_on_police_police_housing
police,2020-21,capital outlay on police__null__police housing,4055__0__211,0,6.75,6.75,4.5125,level_3,capital outlay on police__police housing,3,3,1318,Capital Outlay On Police -> Police Housing,capital outlay,capital_outlay_on_police_police_housing
police,2021-22,capital outlay on police__null__police housing,4055__0__211,4.6136,4.5125,6.8629999999999995,7.788200000000001,level_3,capital outlay on police__police housing,3,3,1319,Capital Outlay On Police -> Police Housing,capital outlay,capital_outlay_on_police_police_housing
police,2022-23,capital outlay on police__null__police housing,4055__0__211,3.9473,7.788200000000001,7.788200000000001,7.02,level_3,capital outlay on police__police housing,3,3,1320,Capital Outlay On Police -> Police Housing,capital outlay,capital_outlay_on_police_police_housing
police,2018-19,"police__null__forensic science__regional forensic science laboratory, jorhat",2055__0__116__4825,0.29710000000000003,1.0265,1.0265,0.9726,level_4,"police__forensic science__regional forensic science laboratory, jorhat",4,4,1326,"Police -> Forensic Science -> Regional Forensic Science Laboratory, Jorhat",forensic science,"police_forensic_science_regional_forensic_science_laboratory,_jorhat"
police,2019-20,"police__null__forensic science__regional forensic science laboratory, jorhat",2055__0__116__4825,0.3435,0.9726,0.9726,0.8039000000000001,level_4,"police__forensic science__regional forensic science laboratory, jorhat",4,4,1327,"Police -> Forensic Science -> Regional Forensic Science Laboratory, Jorhat",forensic science,"police_forensic_science_regional_forensic_science_laboratory,_jorhat"
police,2020-21,"police__null__forensic science__regional forensic science laboratory, jorhat",2055__0__116__4825,0.33640000000000003,0.8039000000000001,0.8761,0.9507,level_4,"police__forensic science__regional forensic science laboratory, jorhat",4,4,1328,"Police -> Forensic Science -> Regional Forensic Science Laboratory, Jorhat",forensic science,"police_forensic_science_regional_forensic_science_laboratory,_jorhat"
police,2021-22,"police__null__forensic science__regional forensic science laboratory, jorhat",2055__0__116__4825,0.6104999999999999,0.9507,0.9507,1.0384,level_4,"police__forensic science__regional forensic science laboratory, jorhat",4,4,1329,"Police -> Forensic Science -> Regional Forensic Science Laboratory, Jorhat",forensic science,"police_forensic_science_regional_forensic_science_laboratory,_jorhat"
police,2022-23,"police__null__forensic science__regional forensic science laboratory, jorhat",2055__0__116__4825,0.6307,1.0384,1.0384,0.9753,level_4,"police__forensic science__regional forensic science laboratory, jorhat",4,4,1330,"Police -> Forensic Science -> Regional Forensic Science Laboratory, Jorhat",forensic science,"police_forensic_science_regional_forensic_science_laboratory,_jorhat"
police,2018-19,police__null__direction and administration__head quarters establishment,2055__0__1__172,48.241899999999994,58.4013,64.4687,78.3846,level_4,police__direction and administration__head quarters establishment,4,4,1331,Police -> Direction And Administration -> Head Quarters Establishment,direction and administration,police_direction_and_administration_head_quarters_establishment
police,2019-20,police__null__direction and administration__head quarters establishment,2055__0__1__172,19.7766,78.3846,89.5552,69.1281,level_4,police__direction and administration__head quarters establishment,4,4,1332,Police -> Direction And Administration -> Head Quarters Establishment,direction and administration,police_direction_and_administration_head_quarters_establishment
police,2020-21,police__null__direction and administration__head quarters establishment,2055__0__1__172,44.4322,69.1281,82.5058,108.3881,level_4,police__direction and administration__head quarters establishment,4,4,1333,Police -> Direction And Administration -> Head Quarters Establishment,direction and administration,police_direction_and_administration_head_quarters_establishment
police,2021-22,police__null__direction and administration__head quarters establishment,2055__0__1__172,53.279700000000005,108.3881,115.1383,107.4709,level_4,police__direction and administration__head quarters establishment,4,4,1334,Police -> Direction And Administration -> Head Quarters Establishment,direction and administration,police_direction_and_administration_head_quarters_establishment
police,2022-23,police__null__direction and administration__head quarters establishment,2055__0__1__172,34.8984,107.4709,113.2167,69.8566,level_4,police__direction and administration__head quarters establishment,4,4,1335,Police -> Direction And Administration -> Head Quarters Establishment,direction and administration,police_direction_and_administration_head_quarters_establishment
police,2018-19,police__null__direction and administration__police range,2055__0__1__433,3.9888,6.5746,6.6446000000000005,11.0998,level_4,police__direction and administration__police range,4,4,1336,Police -> Direction And Administration -> Police Range,direction and administration,police_direction_and_administration_police_range
police,2019-20,police__null__direction and administration__police range,2055__0__1__433,6.2061,11.0998,11.4618,12.774,level_4,police__direction and administration__police range,4,4,1337,Police -> Direction And Administration -> Police Range,direction and administration,police_direction_and_administration_police_range
police,2020-21,police__null__direction and administration__police range,2055__0__1__433,7.098,12.774,13.0944,8.529,level_4,police__direction and administration__police range,4,4,1338,Police -> Direction And Administration -> Police Range,direction and administration,police_direction_and_administration_police_range
police,2021-22,police__null__direction and administration__police range,2055__0__1__433,7.726,8.529,9.849,8.867799999999999,level_4,police__direction and administration__police range,4,4,1339,Police -> Direction And Administration -> Police Range,direction and administration,police_direction_and_administration_police_range
police,2022-23,police__null__direction and administration__police range,2055__0__1__433,7.5784,8.867799999999999,10.2351,0,level_4,police__direction and administration__police range,4,4,1340,Police -> Direction And Administration -> Police Range,direction and administration,police_direction_and_administration_police_range
police,2018-19,police__null__education and training__police training college,2055__0__3__435,10.6849,14.1982,19.6982,18.1562,level_4,police__education and training__police training college,4,4,1341,Police -> Education And Training -> Police Training College,education and training,police_education_and_training_police_training_college
police,2019-20,police__null__education and training__police training college,2055__0__3__435,12.7124,18.1562,18.5971,16.518800000000002,level_4,police__education and training__police training college,4,4,1342,Police -> Education And Training -> Police Training College,education and training,police_education_and_training_police_training_college
police,2020-21,police__null__education and training__police training college,2055__0__3__435,11.7846,16.518800000000002,16.8888,14.6907,level_4,police__education and training__police training college,4,4,1343,Police -> Education And Training -> Police Training College,education and training,police_education_and_training_police_training_college
police,2021-22,police__null__education and training__police training college,2055__0__3__435,12.5617,14.6907,16.3207,14.7534,level_4,police__education and training__police training college,4,4,1344,Police -> Education And Training -> Police Training College,education and training,police_education_and_training_police_training_college
police,2022-23,police__null__education and training__police training college & institutes,2055__0__3__435,11.0872,14.7534,15.953399999999998,49.8233,level_4,police__education and training__police training college & institutes,4,4,1345,Police -> Education And Training -> Police Training College & Institutes,education and training,police_education_and_training_police_training_college_&_institutes
police,2018-19,police__null__education and training__armed police training centre,2055__0__3__436,3.2458,2.7270999999999996,2.8270999999999997,8.8313,level_4,police__education and training__armed police training centre,4,4,1346,Police -> Education And Training -> Armed Police Training Centre,education and training - armed police training centre,police_education_and_training_armed_police_training_centre
police,2019-20,police__null__education and training__armed police training centre,2055__0__3__436,2.3724,8.8313,9.0553,3.4898,level_4,police__education and training__armed police training centre,4,4,1347,Police -> Education And Training -> Armed Police Training Centre,education and training - armed police training centre,police_education_and_training_armed_police_training_centre
police,2020-21,police__null__education and training__armed police training centre,2055__0__3__436,2.7595,3.4898,3.7398,3.7256,level_4,police__education and training__armed police training centre,4,4,1348,Police -> Education And Training -> Armed Police Training Centre,education and training - armed police training centre,police_education_and_training_armed_police_training_centre
police,2021-22,police__null__education and training__armed police training centre,2055__0__3__436,2.5951,3.7256,3.8056,2.9144,level_4,police__education and training__armed police training centre,4,4,1349,Police -> Education And Training -> Armed Police Training Centre,education and training - armed police training centre,police_education_and_training_armed_police_training_centre
police,2022-23,police__null__education and training__armed police training centre,2055__0__3__436,2.4174,2.9144,3.4144,0,level_4,police__education and training__armed police training centre,4,4,1350,Police -> Education And Training -> Armed Police Training Centre,education and training - armed police training centre,police_education_and_training_armed_police_training_centre
police,2018-19,police__null__education and training__recruits training school of assam,2055__0__3__437,4.3148,5.388,8.408000000000001,7.623099999999999,level_4,police__education and training__recruits training school of assam,4,4,1351,Police -> Education And Training -> Recruits Training School Of Assam,education and training,police_education_and_training_recruits_training_school_of_assam
police,2019-20,police__null__education and training__recruits training school of assam,2055__0__3__437,4.8178,7.623099999999999,7.6471,8.4536,level_4,police__education and training__recruits training school of assam,4,4,1352,Police -> Education And Training -> Recruits Training School Of Assam,education and training,police_education_and_training_recruits_training_school_of_assam
police,2020-21,police__null__education and training__recruits training school of assam,2055__0__3__437,5.4510000000000005,8.4536,8.6936,7.2731,level_4,police__education and training__recruits training school of assam,4,4,1353,Police -> Education And Training -> Recruits Training School Of Assam,education and training,police_education_and_training_recruits_training_school_of_assam
police,2021-22,police__null__education and training__recruits training school of assam,2055__0__3__437,6.052899999999999,7.2731,8.183100000000001,7.7247,level_4,police__education and training__recruits training school of assam,4,4,1354,Police -> Education And Training -> Recruits Training School Of Assam,education and training,police_education_and_training_recruits_training_school_of_assam
police,2022-23,police__null__education and training__recruits training school of assam,2055__0__3__437,6.0177,7.7247,7.9247,0,level_4,police__education and training__recruits training school of assam,4,4,1355,Police -> Education And Training -> Recruits Training School Of Assam,education and training,police_education_and_training_recruits_training_school_of_assam
police,2018-19,police__null__education and training__battalion training centre,2055__0__3__439,7.6575,9.7835,11.9635,14.991700000000002,level_4,police__education and training__battalion training centre,4,4,1356,Police -> Education And Training -> Battalion Training Centre,education and training - battalion training centre,police_education_and_training_battalion_training_centre
police,2019-20,police__null__education and training__battalion training centre,2055__0__3__439,9.9694,14.991700000000002,16.2397,17.7824,level_4,police__education and training__battalion training centre,4,4,1357,Police -> Education And Training -> Battalion Training Centre,education and training - battalion training centre,police_education_and_training_battalion_training_centre
police,2020-21,police__null__education and training__battalion training centre,2055__0__3__439,11.2584,17.7824,18.0424,13.3681,level_4,police__education and training__battalion training centre,4,4,1358,Police -> Education And Training -> Battalion Training Centre,education and training - battalion training centre,police_education_and_training_battalion_training_centre
police,2021-22,police__null__education and training__battalion training centre,2055__0__3__439,11.110900000000001,13.3681,15.0731,13.8288,level_4,police__education and training__battalion training centre,4,4,1359,Police -> Education And Training -> Battalion Training Centre,education and training - battalion training centre,police_education_and_training_battalion_training_centre
police,2022-23,police__null__education and training__battalion training centre,2055__0__3__439,11.3647,13.8288,14.868799999999998,0,level_4,police__education and training__battalion training centre,4,4,1360,Police -> Education And Training -> Battalion Training Centre,education and training - battalion training centre,police_education_and_training_battalion_training_centre
