grant,head_title_updated,category
police,police__other expenditure__relief operation in connection with disturbances__raising of new battalion__office expenses,other expenditure - relief operation in connection with disturbances
police,police__other expenditure__relief operation in connection with disturbances__raising of new battalion__minor works,other expenditure - relief operation in connection with disturbances
police,police__other expenditure__relief operation in connection with disturbances__operation against militant raising of assam commando battalion at mandakata__salaries,other expenditure - relief operation in connection with disturbances
police,police__other expenditure__relief operation in connection with disturbances__operation against militant raising of assam commando battalion at mandakata__travel expenses,other expenditure - relief operation in connection with disturbances
police,police__other expenditure__relief operation in connection with disturbances__operation against militant raising of assam commando battalion at mandakata__office expenses,other expenditure - relief operation in connection with disturbances
police,police__other expenditure__relief operation in connection with disturbances__operation against militant raising of assam commando battalion at mandakata__minor works,other expenditure - relief operation in connection with disturbances
police,police__other expenditure__relief operation in connection with disturbances__battalion for ongc (reimbursable from ongc)__salaries,other expenditure - relief operation in connection with disturbances
police,police__other expenditure__relief operation in connection with disturbances__battalion for ongc (reimbursable from ongc)__travel expenses,other expenditure - relief operation in connection with disturbances
police,police__other expenditure__relief operation in connection with disturbances__battalion for ongc (reimbursable from ongc)__office expenses,other expenditure - relief operation in connection with disturbances
police,police__other expenditure__relief operation in connection with disturbances__battalion for ongc (reimbursable from ongc)__minor works,other expenditure - relief operation in connection with disturbances
police,police__other expenditure__new indian reserve battalions__salaries,other expenditure - new indian reserve battalions
police,police__other expenditure__new indian reserve battalions__office expenses,other expenditure - new indian reserve battalions
police,police__other expenditure__new indian reserve battalions__minor works,other expenditure - new indian reserve battalions
police,police__other expenditure__special task force__salaries,other expenditure
police,police__other expenditure__special task force__travel expenses,other expenditure
police,police__other expenditure__special task force__office expenses,other expenditure
police,police__other expenditure__special task force__secret service expenditure,other expenditure
police,police__other expenditure__special task force__minor works,other expenditure
police,police__education and training__training of ips probationers__salaries,education and training
police,police__education and training__assam police academy (training)__minor works,education and training
police,police__criminal investigation and vigilance__narcotic cell__purchase of motor vehicles,criminal investigation and vigilance
police,police__district police__police guard for supply check gates__salaries,district police
police,police__other expenditure__new indian reserve battalions__travel expenses,other expenditure - new indian reserve battalions
police,police__criminal investigation and vigilance__special branch__travel expenses,criminal investigation and vigilance - special branch
police,police__direction and administration__head quarters establishment__other charges,direction and administration
police,police__criminal investigation and vigilance__special branch__other charges,criminal investigation and vigilance - special branch
police,police__criminal investigation and vigilance__special branch__office expenses,criminal investigation and vigilance - special branch
police,"police__wireless and computers__wireless and computer__rents, rates & taxes / royalty",wireless and computers
police,police__other expenditure__relief operation in connection with disturbances__battalion for ongc (reimbursable from ongc)__maintenance,other expenditure - relief operation in connection with disturbances
police,police__special police__armed police battalions__maintenance,special police
police,police__village police__village police/village defence organisation__other charges,village police
police,police__welfare of police personnel__police hospital__materials & supplies,welfare of police personnel
police,police__other expenditure__relief operation in connection with disturbances__operation against militant raising of assam commando battalion at mandakata__materials & supplies,other expenditure - relief operation in connection with disturbances
police,"police__education and training__armed police training centre__rents, rates & taxes / royalty",education and training - armed police training centre
police,police__criminal investigation and vigilance__criminal investigation department__maintenance,criminal investigation and vigilance
police,police__other expenditure__relief operation in connection with disturbances__battalion for ongc (reimbursable from ongc)__other charges,other expenditure - relief operation in connection with disturbances
police,police__special police__armed police battalions__wages,special police
police,police__district police__district police proper__other charges,district police - district police proper
police,police__other expenditure__relief operation in connection with disturbances__raising of new battalion__other charges,other expenditure - relief operation in connection with disturbances
police,police__direction and administration__head quarters establishment__payment for professional and special services,direction and administration
police,police__education and training__police training college__machinery and equipment / tools & plants,education and training
police,"police__criminal investigation and vigilance__criminal investigation department__rents, rates & taxes / royalty",criminal investigation and vigilance
police,police__district police__district police proper__machinery and equipment / tools & plants,district police - district police proper
police,police__district police__river police__other charges,district police - river police
police,police__district police__checking of bangladeshi infiltration__checking of bangladeshi infiltration__other charges,district police - checking of bangladeshi infiltration
police,police__railway police__crime police__materials & supplies,railway police
police,police__other expenditure__relief operation in connection with disturbances__raising of new battalion__machinery and equipment / tools & plants,other expenditure - relief operation in connection with disturbances
police,police__criminal investigation and vigilance__special branch__materials & supplies,criminal investigation and vigilance - special branch
police,police__other expenditure__special task force__machinery and equipment / tools & plants,other expenditure
police,police__direction and administration__police range__other charges,direction and administration
police,police__criminal investigation and vigilance__special branch__machinery and equipment / tools & plants,criminal investigation and vigilance - special branch
police,police__welfare of police personnel__assistance to police athletic club__materials & supplies,welfare of police personnel
police,police__criminal investigation and vigilance__special branch__wages,criminal investigation and vigilance - special branch
police,police__criminal investigation and vigilance__special branch (bieo)__machinery and equipment / tools & plants,criminal investigation and vigilance - special branch
police,police__criminal investigation and vigilance__special branch__maintenance,criminal investigation and vigilance - special branch
police,police__district police__district police proper__payment for professional and special services,district police - district police proper
police,"police__criminal investigation and vigilance__special branch__rents, rates & taxes / royalty",criminal investigation and vigilance - special branch
police,police__district police__river police__machinery and equipment / tools & plants,district police - river police
police,police__criminal investigation and vigilance__narcotic cell__office expenses,criminal investigation and vigilance
police,police__wireless and computers__wireless and computer__other charges,wireless and computers
police,police__other expenditure__new indian reserve battalions__materials & supplies,other expenditure - new indian reserve battalions
police,police__education and training__battalion training centre__other charges,education and training - battalion training centre
police,police__district police__river police__wages,district police - river police
police,"police__education and training__battalion training centre__rents, rates & taxes / royalty",education and training - battalion training centre
police,police__railway police__supervising staff__materials & supplies,railway police
police,police__wireless and computers__wireless and computer__machinery and equipment / tools & plants,wireless and computers
police,police__other expenditure__relief operation in connection with disturbances__battalion for ongc (reimbursable from ongc)__materials & supplies,other expenditure - relief operation in connection with disturbances
police,police__education and training__recruits training school of assam__materials & supplies,education and training
police,police__special police__armed police battalions__materials & supplies,special police
police,police__education and training__armed police training centre__maintenance,education and training - armed police training centre
police,police__village police__village police/village defence organisation__payment for professional and special services,village police
police,police__other expenditure__relief operation in connection with disturbances__operation against militant raising of assam commando battalion at mandakata__other charges,other expenditure - relief operation in connection with disturbances
police,police__direction and administration__head quarters establishment__maintenance,direction and administration
police,police__district police__checking of bangladeshi infiltration__checking of bangladeshi infiltration__maintenance,district police - checking of bangladeshi infiltration
police,police__education and training__armed police training centre__materials & supplies,education and training - armed police training centre
police,police__criminal investigation and vigilance__criminal investigation department__materials & supplies,criminal investigation and vigilance
police,police__district police__women police__materials & supplies,district police - women police
police,police__railway police__order police__materials & supplies,railway police
police,police__other expenditure__relief operation in connection with disturbances__operation against militant raising of assam commando battalion at mandakata__machinery and equipment / tools & plants,other expenditure - relief operation in connection with disturbances
police,police__direction and administration__head quarters establishment__publication,direction and administration
police,police__education and training__police training college__materials & supplies,education and training
police,police__district police__district police proper__maintenance,district police - district police proper
police,police__other expenditure__relief operation in connection with disturbances__raising of new battalion__maintenance,other expenditure - relief operation in connection with disturbances
police,police__other expenditure__relief operation in connection with disturbances__raising of new battalion__materials & supplies,other expenditure - relief operation in connection with disturbances
police,police__education and training__police training college__payment for professional and special services,education and training
police,"police__district police__district police proper__rents, rates & taxes / royalty",district police - district police proper
police,police__district police__river police__maintenance,district police - river police
police,police__other expenditure__expenditure in connection with general election__charges for conduct of lok sabha election__other charges,other expenditure
police,police__other expenditure__new indian reserve battalions__other charges,other expenditure - new indian reserve battalions
