category,major_head_code,level,unique_level_heads,2018-19,2019-20,2020-21,2021-22,2022-23
jails,2056,level_7_code,2056__0__101__486__0__3__1,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__101__486__0__1__38,TRUE,TRUE,TRUE,FALSE,FALSE
jails,2056,level_7_code,2056__0__101__486__0__1__34,TRUE,TRUE,TRUE,FALSE,FALSE
jails,2056,level_7_code,2056__0__101__486__0__1__33,TRUE,TRUE,TRUE,FALSE,FALSE
jails,2056,level_7_code,2056__0__101__486__0__1__32,TRUE,TRUE,TRUE,FALSE,FALSE
jails,2056,level_7_code,2056__0__101__486__0__1__20,TRUE,TRUE,TRUE,FALSE,FALSE
jails,2056,level_7_code,2056__0__1__1738__0__3__1,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__101__486__0__14__1,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__1__172__0__4__98,TRUE,TRUE,FALSE,FALSE,FALSE
jails,2056,level_7_code,2056__0__1__172__0__3__1,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__1__172__0__1__24,TRUE,TRUE,TRUE,FALSE,FALSE
jails,2056,level_7_code,2056__0__101__486__0__4__98,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__800__489__0__14__1,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__800__489__0__3__1,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__800__489__0__1__38,TRUE,TRUE,TRUE,FALSE,FALSE
jails,2056,level_7_code,2056__0__800__489__0__1__34,TRUE,TRUE,TRUE,FALSE,FALSE
jails,2056,level_7_code,2056__0__800__489__0__1__32,TRUE,TRUE,TRUE,FALSE,FALSE
jails,2056,level_7_code,2056__0__800__489__0__19__98,TRUE,TRUE,FALSE,FALSE,FALSE
jails,2056,level_7_code,2056__0__101__486__600__14__1,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__101__486__600__3__1,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__101__486__600__1__38,TRUE,TRUE,TRUE,FALSE,FALSE
jails,2056,level_7_code,2056__0__101__486__600__1__34,TRUE,TRUE,TRUE,FALSE,FALSE
jails,2056,level_7_code,2056__0__101__486__600__1__32,TRUE,TRUE,TRUE,FALSE,FALSE
jails,2056,level_7_code,2056__0__101__486__600__1__12,TRUE,TRUE,FALSE,TRUE,TRUE
jails,2056,level_7_code,2056__0__1__172__0__1__52,TRUE,TRUE,TRUE,FALSE,FALSE
jails,2056,level_7_code,2056__0__1__1738__0__1__52,TRUE,TRUE,TRUE,FALSE,FALSE
jails,2056,level_7_code,2056__0__1__1738__0__1__12,TRUE,TRUE,FALSE,FALSE,FALSE
jails,2056,level_7_code,2056__0__101__486__0__1__52,TRUE,TRUE,TRUE,FALSE,FALSE
jails,2056,level_7_code,2056__0__102__0__0__1__20,TRUE,TRUE,TRUE,FALSE,FALSE
jails,2056,level_7_code,2056__0__101__486__0__1__19,TRUE,TRUE,TRUE,FALSE,FALSE
jails,2056,level_7_code,2056__0__101__487__600__26__98,TRUE,TRUE,TRUE,TRUE,FALSE
jails,2056,level_7_code,2056__0__101__486__0__16__1,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__101__486__600__16__1,TRUE,TRUE,TRUE,FALSE,FALSE
jails,2056,level_7_code,2056__0__101__486__600__19__98,TRUE,TRUE,FALSE,FALSE,FALSE
jails,2056,level_7_code,2056__0__1__172__0__1__99,TRUE,FALSE,FALSE,FALSE,FALSE
jails,2056,level_7_code,2056__0__1__172__0__15__3,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__1__1738__0__4__9,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__1__1738__0__4__8,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__1__1738__0__4__6,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__1__1738__0__4__5,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__1__1738__0__4__4,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__101__486__0__4__12,TRUE,TRUE,TRUE,TRUE,FALSE
