budget_for,year,head_title,level_code,total_actuals,total_estimate_py,total_revised_py,total_estimate_cy,level_col
jails,2020-21,jails__null__other expenditure__open air jails__null__office expenses,2056__0__800__489__0__4,0.0109,0.044500000000000005,0.044500000000000005,0.0416,level_6
jails,2021-22,jails__null__other expenditure__open air jails__null__office expenses,2056__0__800__489__0__4,0.013000000000000001,0.0416,0.0416,0.037399999999999996,level_6
jails,2022-23,jails__null__other expenditure__open air jails__null__office expenses,2056__0__800__489__0__4,0.0084,0.037399999999999996,0.037399999999999996,0.025999999999999995,level_6
jails,2018-19,jails__null__other expenditure__open air jails__null__minor works,2056__0__800__489__0__14,0.0174,0.035,0.035,0.1,level_6
jails,2019-20,jails__null__other expenditure__open air jails__null__minor works,2056__0__800__489__0__14,0.016399999999999998,0.1,0.1,0.25,level_6
jails,2020-21,jails__null__other expenditure__open air jails__null__minor works,2056__0__800__489__0__14,0.065,0.25,0.25,0.2325,level_6
jails,2021-22,jails__null__other expenditure__open air jails__null__minor works,2056__0__800__489__0__14,0.1499,0.2325,0.2325,0.09,level_6
jails,2022-23,jails__null__other expenditure__open air jails__null__minor works,2056__0__800__489__0__14,0,0.09,0.09,0.081,level_6
jails,2018-19,jails__null__direction and administration__head quarters establishment__null__office expenses,2056__0__1__172__0__4,0.09949999999999999,1.0688,1.0688,0.3086,level_6
jails,2019-20,jails__null__direction and administration__head quarters establishment__null__office expenses,2056__0__1__172__0__4,0.0935,0.3086,0.3086,0.2893,level_6
jails,2020-21,jails__null__direction and administration__head quarters establishment__null__office expenses,2056__0__1__172__0__4,0.1208,0.2893,0.6893,0.3009,level_6
jails,2021-22,jails__null__direction and administration__head quarters establishment__null__office expenses,2056__0__1__172__0__4,0.1112,0.3009,0.3245,0.2413,level_6
jails,2022-23,jails__null__direction and administration__head quarters establishment__null__office expenses,2056__0__1__172__0__4,0.0965,0.2413,0.2713,0.1856,level_6
jails,2018-19,jails__null__jails__district jails__null__maintenance,2056__0__101__486__0__17,0.2934,0.63,0.63,1.05,level_6
jails,2019-20,jails__null__jails__district jails__null__maintenance,2056__0__101__486__0__17,0.3178,1.05,1.05,1.25,level_6
jails,2020-21,jails__null__jails__district jails__null__maintenance,2056__0__101__486__0__17,0.9856,1.25,1.565,0.5579999999999999,level_6
jails,2021-22,jails__null__jails__district jails__null__maintenance,2056__0__101__486__0__17,1.1719,0.5579999999999999,0.5579999999999999,0.99,level_6
jails,2022-23,jails__null__jails__district jails__null__maintenance,2056__0__101__486__0__17,0.2469,0.99,0.99,0.8909999999999999,level_6
jails,2018-19,jails__null__jail manufacturers__null__null__travel expenses,2056__0__102__0__0__3,0,0.004,0.004,0.004,level_6
jails,2019-20,jails__null__jail manufacturers__null__null__travel expenses,2056__0__102__0__0__3,0,0.004,0.004,0.004,level_6
jails,2020-21,jails__null__jail manufacturers__null__null__travel expenses,2056__0__102__0__0__3,0,0.004,0.004,0.0037,level_6
jails,2021-22,jails__null__jail manufacturers__null__null__travel expenses,2056__0__102__0__0__3,0,0.0037,0.0037,1e-4,level_6
jails,2022-23,jails__null__jail manufacturers__null__null__travel expenses,2056__0__102__0__0__3,0,1e-4,1e-4,0,level_6
jails,2018-19,jails__null__jail manufacturers__null__null__office expenses,2056__0__102__0__0__4,0,0.006999999999999999,0.006999999999999999,0.006999999999999999,level_6
jails,2019-20,jails__null__jail manufacturers__null__null__office expenses,2056__0__102__0__0__4,0,0.006999999999999999,0.006999999999999999,0.006999999999999999,level_6
