budget_for,year,head_title,level_code,total_actuals,total_estimate_py,total_revised_py,total_estimate_cy,level_col,head_title_updated,level_num,min_level,ref_id,display_title,category,slug
jails,2021-22,jails__null__jails__changes for police custody__movement of prisons,2056__0__101__487__600,5.021599999999999,7.6963,7.6963,2.8963,level_5,jails__jails__changes for police custody__movement of prisons,5,5,91,Jails -> Jails -> Changes For Police Custody -> Movement Of Prisons,jails,jails_jails_changes_for_police_custody_movement_of_prisons
jails,2018-19,capital outlay on public works__office buildings__construction - general pool accommodation__jails__modernisation of prison administration,4059__1__101__1484__485,0,0.32530000000000003,0.32530000000000003,0.38,level_5,capital outlay on public works__office buildings__construction - general pool accommodation__jails__modernisation of prison administration,5,5,92,Capital Outlay On Public Works -> Office Buildings -> Construction - General Pool Accommodation -> Jails -> Modernisation Of Prison Administration,capital outlay,capital_outlay_on_public_works_office_buildings_construction_-_general_pool_accommodation_jails_modernisation_of_prison_administration
jails,2019-20,capital outlay on public works__office buildings__construction - general pool accommodation__jails__modernisation of prison administration,4059__1__101__1484__485,0.1656,0.38,0.38,0.2114,level_5,capital outlay on public works__office buildings__construction - general pool accommodation__jails__modernisation of prison administration,5,5,93,Capital Outlay On Public Works -> Office Buildings -> Construction - General Pool Accommodation -> Jails -> Modernisation Of Prison Administration,capital outlay,capital_outlay_on_public_works_office_buildings_construction_-_general_pool_accommodation_jails_modernisation_of_prison_administration
jails,2020-21,capital outlay on public works__office buildings__construction - general pool accommodation__jails__modernisation of prison administration,4059__1__101__1484__485,0,0.2114,0.2114,0.1008,level_5,capital outlay on public works__office buildings__construction - general pool accommodation__jails__modernisation of prison administration,5,5,94,Capital Outlay On Public Works -> Office Buildings -> Construction - General Pool Accommodation -> Jails -> Modernisation Of Prison Administration,capital outlay,capital_outlay_on_public_works_office_buildings_construction_-_general_pool_accommodation_jails_modernisation_of_prison_administration
jails,2021-22,capital outlay on public works__office buildings__construction - general pool accommodation__jails__modernisation of prison administration,4059__1__101__1484__485,0.1054,0.1008,0.1008,0,level_5,capital outlay on public works__office buildings__construction - general pool accommodation__jails__modernisation of prison administration,5,5,95,Capital Outlay On Public Works -> Office Buildings -> Construction - General Pool Accommodation -> Jails -> Modernisation Of Prison Administration,capital outlay,capital_outlay_on_public_works_office_buildings_construction_-_general_pool_accommodation_jails_modernisation_of_prison_administration
jails,2018-19,capital outlay on public works__office buildings__construction - general pool accommodation__jails__genl. security related expenditure,4059__1__101__1484__486,0,1.2881,1.2881,2.1715,level_5,capital outlay on public works__office buildings__construction - general pool accommodation__jails__genl. security related expenditure,5,5,96,Capital Outlay On Public Works -> Office Buildings -> Construction - General Pool Accommodation -> Jails -> Genl. Security Related Expenditure,capital outlay,capital_outlay_on_public_works_office_buildings_construction_-_general_pool_accommodation_jails_genl._security_related_expenditure
jails,2019-20,capital outlay on public works__office buildings__construction - general pool accommodation__jails__genl. security related expenditure,4059__1__101__1484__486,0,2.1715,2.1715,2,level_5,capital outlay on public works__office buildings__construction - general pool accommodation__jails__genl. security related expenditure,5,5,97,Capital Outlay On Public Works -> Office Buildings -> Construction - General Pool Accommodation -> Jails -> Genl. Security Related Expenditure,capital outlay,capital_outlay_on_public_works_office_buildings_construction_-_general_pool_accommodation_jails_genl._security_related_expenditure
jails,2020-21,capital outlay on public works__office buildings__construction - general pool accommodation__jails__genl. security related expenditure,4059__1__101__1484__486,1.4268,2,2,1.4128,level_5,capital outlay on public works__office buildings__construction - general pool accommodation__jails__genl. security related expenditure,5,5,98,Capital Outlay On Public Works -> Office Buildings -> Construction - General Pool Accommodation -> Jails -> Genl. Security Related Expenditure,capital outlay,capital_outlay_on_public_works_office_buildings_construction_-_general_pool_accommodation_jails_genl._security_related_expenditure
jails,2021-22,capital outlay on public works__office buildings__construction - general pool accommodation__jails__genl. security related expenditure,4059__1__101__1484__486,1.0259,1.4128,1.4128,0,level_5,capital outlay on public works__office buildings__construction - general pool accommodation__jails__genl. security related expenditure,5,5,99,Capital Outlay On Public Works -> Office Buildings -> Construction - General Pool Accommodation -> Jails -> Genl. Security Related Expenditure,capital outlay,capital_outlay_on_public_works_office_buildings_construction_-_general_pool_accommodation_jails_genl._security_related_expenditure
jails,2018-19,"capital outlay on public works__office buildings__construction - general pool accommodation__jails__works (construction of 11 numbers of staff quarters & expenses on construction of prisoners barrack, kitchen, dining room, latrine, master drain, etc.)",4059__1__101__1484__770,0,4.95,4.95,13.8094,level_5,"capital outlay on public works__office buildings__construction - general pool accommodation__jails__works (construction of 11 numbers of staff quarters & expenses on construction of prisoners barrack, kitchen, dining room, latrine, master drain, etc.)",5,5,100,"Capital Outlay On Public Works -> Office Buildings -> Construction - General Pool Accommodation -> Jails -> Works (Construction Of 11 Numbers Of Staff Quarters & Expenses On Construction Of Prisoners Barrack, Kitchen, Dining Room, Latrine, Master Drain, Etc.)",capital outlay,"capital_outlay_on_public_works_office_buildings_construction_-_general_pool_accommodation_jails_works_(construction_of_11_numbers_of_staff_quarters_&_expenses_on_construction_of_prisoners_barrack,_kitchen,_dining_room,_latrine,_master_drain,_etc.)"
jails,2019-20,"capital outlay on public works__office buildings__construction - general pool accommodation__jails__works (construction of 11 numbers of staff quarters & expenses on construction of prisoners barrack, kitchen, dining room, latrine, master drain, etc.)",4059__1__101__1484__770,0.6453,13.8094,13.8094,18,level_5,"capital outlay on public works__office buildings__construction - general pool accommodation__jails__works (construction of 11 numbers of staff quarters & expenses on construction of prisoners barrack, kitchen, dining room, latrine, master drain, etc.)",5,5,101,"Capital Outlay On Public Works -> Office Buildings -> Construction - General Pool Accommodation -> Jails -> Works (Construction Of 11 Numbers Of Staff Quarters & Expenses On Construction Of Prisoners Barrack, Kitchen, Dining Room, Latrine, Master Drain, Etc.)",capital outlay,"capital_outlay_on_public_works_office_buildings_construction_-_general_pool_accommodation_jails_works_(construction_of_11_numbers_of_staff_quarters_&_expenses_on_construction_of_prisoners_barrack,_kitchen,_dining_room,_latrine,_master_drain,_etc.)"
jails,2020-21,"capital outlay on public works__office buildings__construction - general pool accommodation__jails__works (construction of 11 numbers of staff quarters & expenses on construction of prisoners barrack, kitchen, dining room, latrine, master drain, etc.)",4059__1__101__1484__770,5.157100000000001,18,18,15.5022,level_5,"capital outlay on public works__office buildings__construction - general pool accommodation__jails__works (construction of 11 numbers of staff quarters & expenses on construction of prisoners barrack, kitchen, dining room, latrine, master drain, etc.)",5,5,102,"Capital Outlay On Public Works -> Office Buildings -> Construction - General Pool Accommodation -> Jails -> Works (Construction Of 11 Numbers Of Staff Quarters & Expenses On Construction Of Prisoners Barrack, Kitchen, Dining Room, Latrine, Master Drain, Etc.)",capital outlay,"capital_outlay_on_public_works_office_buildings_construction_-_general_pool_accommodation_jails_works_(construction_of_11_numbers_of_staff_quarters_&_expenses_on_construction_of_prisoners_barrack,_kitchen,_dining_room,_latrine,_master_drain,_etc.)"
jails,2021-22,"capital outlay on public works__office buildings__construction - general pool accommodation__jails__works (construction of 11 numbers of staff quarters & expenses on construction of prisoners barrack, kitchen, dining room, latrine, master drain, etc.)",4059__1__101__1484__770,15.1102,15.5022,15.5022,0,level_5,"capital outlay on public works__office buildings__construction - general pool accommodation__jails__works (construction of 11 numbers of staff quarters & expenses on construction of prisoners barrack, kitchen, dining room, latrine, master drain, etc.)",5,5,103,"Capital Outlay On Public Works -> Office Buildings -> Construction - General Pool Accommodation -> Jails -> Works (Construction Of 11 Numbers Of Staff Quarters & Expenses On Construction Of Prisoners Barrack, Kitchen, Dining Room, Latrine, Master Drain, Etc.)",capital outlay,"capital_outlay_on_public_works_office_buildings_construction_-_general_pool_accommodation_jails_works_(construction_of_11_numbers_of_staff_quarters_&_expenses_on_construction_of_prisoners_barrack,_kitchen,_dining_room,_latrine,_master_drain,_etc.)"
jails,2018-19,jails__null__direction and administration__head quarters establishment__null__salaries,2056__0__1__172__0__1,1.5877,1.9095,2.1121,2.1067,level_6,jails__direction and administration__head quarters establishment__salaries,6,6,111,Jails -> Direction And Administration -> Head Quarters Establishment -> Salaries,direction and administration,jails_direction_and_administration_head_quarters_establishment_salaries
jails,2019-20,jails__null__direction and administration__head quarters establishment__null__salaries,2056__0__1__172__0__1,1.727,2.1067,2.1067,2.2948,level_6,jails__direction and administration__head quarters establishment__salaries,6,6,112,Jails -> Direction And Administration -> Head Quarters Establishment -> Salaries,direction and administration,jails_direction_and_administration_head_quarters_establishment_salaries
jails,2020-21,jails__null__direction and administration__head quarters establishment__null__salaries,2056__0__1__172__0__1,1.8359,2.2948,2.2948,2.2246,level_6,jails__direction and administration__head quarters establishment__salaries,6,6,113,Jails -> Direction And Administration -> Head Quarters Establishment -> Salaries,direction and administration,jails_direction_and_administration_head_quarters_establishment_salaries
jails,2021-22,jails__null__direction and administration__head quarters establishment__null__salaries,2056__0__1__172__0__1,1.974,2.2246,2.2246,2.1903,level_6,jails__direction and administration__head quarters establishment__salaries,6,6,114,Jails -> Direction And Administration -> Head Quarters Establishment -> Salaries,direction and administration,jails_direction_and_administration_head_quarters_establishment_salaries
jails,2018-19,jails__null__direction and administration__head quarters establishment__null__travel expenses,2056__0__1__172__0__3,0.005,0.0385,0.0385,0.0424,level_6,jails__direction and administration__head quarters establishment__travel expenses,6,6,115,Jails -> Direction And Administration -> Head Quarters Establishment -> Travel Expenses,direction and administration,jails_direction_and_administration_head_quarters_establishment_travel_expenses
jails,2019-20,jails__null__direction and administration__head quarters establishment__null__travel expenses,2056__0__1__172__0__3,0.004,0.0424,0.0424,0.0424,level_6,jails__direction and administration__head quarters establishment__travel expenses,6,6,116,Jails -> Direction And Administration -> Head Quarters Establishment -> Travel Expenses,direction and administration,jails_direction_and_administration_head_quarters_establishment_travel_expenses
jails,2020-21,jails__null__direction and administration__head quarters establishment__null__travel expenses,2056__0__1__172__0__3,0.0116,0.0424,0.0424,0.0394,level_6,jails__direction and administration__head quarters establishment__travel expenses,6,6,117,Jails -> Direction And Administration -> Head Quarters Establishment -> Travel Expenses,direction and administration,jails_direction_and_administration_head_quarters_establishment_travel_expenses
jails,2021-22,jails__null__direction and administration__head quarters establishment__null__travel expenses,2056__0__1__172__0__3,0.0249,0.0394,0.0394,0.0355,level_6,jails__direction and administration__head quarters establishment__travel expenses,6,6,118,Jails -> Direction And Administration -> Head Quarters Establishment -> Travel Expenses,direction and administration,jails_direction_and_administration_head_quarters_establishment_travel_expenses
