Ministry,Head,Scheme,schemeID,Budget 2016-2017 _Revenue,Budget 2016-2017 _Capital,Budget 2016-2017 _Total,Revised 2016-2017 _Revenue,Revised 2016-2017 _Capital,Revised 2016-2017 _Total,Actual 2016-2017 _Revenue,Actual 2016-2017 _Capital,Actual 2016-2017 _Total,Budget 2017-2018 _Revenue,Budget 2017-2018 _Capital,Budget 2017-2018 _Total,Revised 2017-2018 _Revenue,Revised 2017-2018 _Capital,Revised 2017-2018 _Total,Actual 2017-2018 _Revenue,Actual 2017-2018 _Capital,Actual 2017-2018 _Total,Budget 2018-2019 _Revenue,Budget 2018-2019 _Capital,Budget 2018-2019 _Total,Revised 2018-2019 _Revenue,Revised 2018-2019 _Capital,Revised 2018-2019 _Total,Actual 2018-2019 _Revenue,Actual 2018-2019 _Capital,Actual 2018-2019 _Total,Budget 2019-2020 _Revenue,Budget 2019-2020 _Capital,Budget 2019-2020 _Total,Revised 2019-2020 _Revenue,Revised 2019-2020 _Capital,Revised 2019-2020 _Total,Actual 2019-2020 _Revenue,Actual 2019-2020 _Capital,Actual 2019-2020 _Total,Budget 2020-2021 _Revenue,Budget 2020-2021 _Capital,Budget 2020-2021 _Total,Revised 2020-2021 _Revenue,Revised 2020-2021 _Capital,Revised 2020-2021 _Total,Actual 2020-2021 _Revenue,Actual 2020-2021 _Capital,Actual 2020-2021 _Total,Budget  2021-2022 _Revenue,Budget  2021-2022 _Capital,Budget  2021-2022 _Total,Revised 2021-2022 _Revenue,Revised 2021-2022 _Capital,Revised 2021-2022 _Total,Budget  2022-2023 _Revenue,Budget  2022-2023 _Capital,Budget  2022-2023 _Total
Law and Justice,Election Commission of India,Election Commission of India,L33,81.52,40,121.52,83,63,146,82.93,62.99,145.92,113,33,146,118,71.79,189.79,117.69,71.77,189.46,248.66,19.3,267.96,222.16,19.3,241.46,218.73,19.3,238.03,261.68,25,286.68,255.46,31.22,286.68,248.7,31.22,279.92,269,1,270,200,6,206,192.88,6,198.88,242.16,7,249.16,252,7,259,253,7,260
Law and Justice,"Actual Recoveries				","Actual Recoveries				",L34,0,0,0,0,0,0,-0.97,0,-0.97,0,0,0,0,0,0,-0.49,0,-0.49,0,0,0,0,0,0,-1.39,0,-1.39,0,0,0,0,0,0,-2.79,0,-2.79,0,0,0,0,0,0,-3.9,-1.49,-5.39,...,...,...,...,...,...,...,...,...
Total,Total,Total,LT3,81.52,40,121.52,83,63,146,81.96,62.99,144.95,113,33,146,118,71.79,189.79,117.2,71.77,188.97,248.66,19.3,267.96,222.16,19.3,241.46,217.34,19.3,236.64,261.68,25,286.68,255.46,31.22,286.68,245.91,31.22,277.13,269,1,270,200,6,206,188.98,4.51,193.49,242.16,7,249.16,252,7,259,253,7,260
Law and Justice,"Elections				","Elections				",L35,81.52,0,81.52,83,0,83,81.96,0,81.96,113,0,113,118,0,118,117.2,0,117.2,248.66,0,248.66,222.16,0,222.16,217.34,0,217.34,261.68,0,261.68,255.46,0,255.46,245.91,,245.91,269,0,269,200,,200,188.98,...,188.98,242.16,...,242.16,252,...,252,253,...,253
Law and Justice,"Capital Outlay on Public Works				","Capital Outlay on Public Works				",L36,0,40,40,0,63,63,0,62.99,62.99,0,33,33,0,71.79,71.79,0,71.77,71.77,0,19.3,19.3,0,19.3,19.3,0,19.3,19.3,0,25,25,0,31.22,31.22,0,31.22,31.22,0,1,1,0,6,6,...,4.51,4.51,...,7,7,...,7,7,...,7,7
Total,Total,Total,LT4,81.52,40,121.52,83,63,146,81.96,62.99,144.95,113,33,146,118,71.79,189.79,117.2,71.77,188.97,248.66,19.3,267.96,222.16,19.3,241.46,217.34,19.3,236.64,261.68,25,286.68,255.46,31.22,286.68,245.91,31.22,277.13,269,1,270,200,6,206,188.98,4.51,193.49,242.16,7,249.16,252,7,259,253,7,260
Law and Justice,Supreme Court of India,Supreme Court of India,L37,189.88,0,189.88,242,0,242,234.75,0,234.75,247,0,247,255,0,255,255,0,255,251.06,0,251.06,258.53,0,258.53,258.53,0,258.53,269.46,0,269.46,296.55,0,296.55,296.55,0,296.55,308.61,0,308.61,328,0,328,328,0,328,334.96,0,334.96,350.86,0,350.86,401.46,0,401.46
Total,Total,Total,LT5,189.88,0,189.88,242,0,242,234.75,0,234.75,247,0,247,255,0,255,255,0,255,251.06,0,251.06,258.53,0,258.53,258.53,0,258.53,269.46,0,269.46,296.55,0,296.55,296.55,0,296.55,308.61,0,308.61,328,0,328,328,0,328,334.96,0,334.96,350.86,0,350.86,401.46,0,401.46
Law and Justice,Administration of Justice,Administration of Justice,L38,189.88,0,189.88,242,0,242,234.75,0,234.75,247,0,247,255,0,255,255,0,255,251.06,0,251.06,258.53,0,258.53,258.53,0,258.53,269.46,0,269.46,296.55,0,296.55,296.55,0,296.55,308.61,0,308.61,328,0,328,328,0,328,334.96,0,334.96,350.86,0,350.86,401.46,0,401.46
Total,Total,Total,LT6,189.88,0,189.88,242,0,242,234.75,0,234.75,247,0,247,255,0,255,255,0,255,251.06,0,251.06,258.53,0,258.53,258.53,0,258.53,269.46,0,269.46,296.55,0,296.55,296.55,0,296.55,308.61,0,308.61,328,0,328,328,0,328,334.96,0,334.96,350.86,0,350.86,401.46,0,401.46
Ministry - Total,Total,Total,LT7,5283.39,128.01,5411.4,4357.97,93.32,4451.29,3924.85,70.71,3995.56,3432.39,1104.27,4536.66,3031.93,1602.79,4634.72,2987.89,1578.56,4566.45,3086.05,1819.3,4905.35,2835.33,3991.47,6826.8,2770.02,3696.26,6466.28,3451.25,160,3611.25,3615.37,141.22,3756.59,3574.17,80.84,3655.01,2577.61,201,2778.61,1850.46,292,2142.46,1788.28,290.51,2078.79,2122.94,1107,3229.94,3691.86,1129,4820.86,2432.94,1622,4054.94
