budget_for,year,head_title,level_code,total_actuals,total_estimate_py,total_revised_py,total_estimate_cy,level_col,head_title_updated,level_num,min_level,display_title,category
justice,2018-19,administration of justice__null__legal advisers and counsels__government advocate.,2014__0__114__287,465.36,1116.8,1116.8,1021.58,level_4,administration of justice__legal advisers and counsels__government advocate.,4,4,Administration Of Justice - Legal Advisers And Counsels - Government Advocate.,legal advisers and counsels
justice,2019-20,administration of justice__null__legal advisers and counsels__government advocate.,2014__0__114__287,535.08,1021.58,1021.58,1129.48,level_4,administration of justice__legal advisers and counsels__government advocate.,4,4,Administration Of Justice - Legal Advisers And Counsels - Government Advocate.,legal advisers and counsels
justice,2020-21,administration of justice__null__legal advisers and counsels__government advocate.,2014__0__114__287,668.91,1129.48,1129.68,1081.54,level_4,administration of justice__legal advisers and counsels__government advocate.,4,4,Administration Of Justice - Legal Advisers And Counsels - Government Advocate.,legal advisers and counsels
justice,2021-22,administration of justice__null__legal advisers and counsels__government advocate.,2014__0__114__287,628.75,1081.54,1095.54,1131.1,level_4,administration of justice__legal advisers and counsels__government advocate.,4,4,Administration Of Justice - Legal Advisers And Counsels - Government Advocate.,legal advisers and counsels
justice,2018-19,administration of justice__null__legal advisers and counsels__advocate general,2014__0__114__306,129.44,237.9,255.4,230.1,level_4,administration of justice__legal advisers and counsels__advocate general,4,4,Administration Of Justice - Legal Advisers And Counsels - Advocate General,legal advisers and counsels
justice,2019-20,administration of justice__null__legal advisers and counsels__advocate general,2014__0__114__306,212.77,230.1,245.24,273.31,level_4,administration of justice__legal advisers and counsels__advocate general,4,4,Administration Of Justice - Legal Advisers And Counsels - Advocate General,legal advisers and counsels
justice,2020-21,administration of justice__null__legal advisers and counsels__advocate general,2014__0__114__306,153.81,273.31,308.06,161.05,level_4,administration of justice__legal advisers and counsels__advocate general,4,4,Administration Of Justice - Legal Advisers And Counsels - Advocate General,legal advisers and counsels
justice,2021-22,administration of justice__null__legal advisers and counsels__advocate general,2014__0__114__306,216.04999999999998,161.05,251.05,251.53,level_4,administration of justice__legal advisers and counsels__advocate general,4,4,Administration Of Justice - Legal Advisers And Counsels - Advocate General,legal advisers and counsels
justice,2018-19,administration of justice__null__legal advisers and counsels__legal remembrances,2014__0__114__307,35.45,50.75,54.75,65.1,level_4,administration of justice__legal advisers and counsels__legal remembrances,4,4,Administration Of Justice - Legal Advisers And Counsels - Legal Remembrances,legal advisers and counsels
justice,2019-20,administration of justice__null__legal advisers and counsels__legal remembrances,2014__0__114__307,39.42,65.1,70.79,67.23,level_4,administration of justice__legal advisers and counsels__legal remembrances,4,4,Administration Of Justice - Legal Advisers And Counsels - Legal Remembrances,legal advisers and counsels
justice,2020-21,administration of justice__null__legal advisers and counsels__legal remembrances,2014__0__114__307,65.01,67.23,67.23,67.07000000000001,level_4,administration of justice__legal advisers and counsels__legal remembrances,4,4,Administration Of Justice - Legal Advisers And Counsels - Legal Remembrances,legal advisers and counsels
justice,2021-22,administration of justice__null__legal advisers and counsels__legal remembrances,2014__0__114__307,51.32,67.07000000000001,67.22,116.59,level_4,administration of justice__legal advisers and counsels__legal remembrances,4,4,Administration Of Justice - Legal Advisers And Counsels - Legal Remembrances,legal advisers and counsels
justice,2018-19,administration of justice__null__legal advisers and counsels__counsel for supreme court,2014__0__114__308,169.65,408.9,408.9,449.4,level_4,administration of justice__legal advisers and counsels__counsel for supreme court,4,4,Administration Of Justice - Legal Advisers And Counsels - Counsel For Supreme Court,legal advisers and counsels - counsel for supreme court
justice,2019-20,administration of justice__null__legal advisers and counsels__counsel for supreme court,2014__0__114__308,250.43,449.4,449.4,489.95,level_4,administration of justice__legal advisers and counsels__counsel for supreme court,4,4,Administration Of Justice - Legal Advisers And Counsels - Counsel For Supreme Court,legal advisers and counsels - counsel for supreme court
justice,2020-21,administration of justice__null__legal advisers and counsels__counsel for supreme court,2014__0__114__308,190,489.95,489.95,474.49,level_4,administration of justice__legal advisers and counsels__counsel for supreme court,4,4,Administration Of Justice - Legal Advisers And Counsels - Counsel For Supreme Court,legal advisers and counsels - counsel for supreme court
justice,2021-22,administration of justice__null__legal advisers and counsels__counsel for supreme court,2014__0__114__308,269.65,474.49,474.49,372.65,level_4,administration of justice__legal advisers and counsels__counsel for supreme court,4,4,Administration Of Justice - Legal Advisers And Counsels - Counsel For Supreme Court,legal advisers and counsels - counsel for supreme court
justice,2018-19,administration of justice__null__other expenditure__law research institute eastern region,2014__0__800__313,31.57,67.79,67.79,67.53,level_4,administration of justice__other expenditure__law research institute eastern region,4,4,Administration Of Justice - Other Expenditure - Law Research Institute Eastern Region,other expenditure
justice,2019-20,administration of justice__null__other expenditure__law research institute eastern region,2014__0__800__313,38.51,67.53,67.53,73.21,level_4,administration of justice__other expenditure__law research institute eastern region,4,4,Administration Of Justice - Other Expenditure - Law Research Institute Eastern Region,other expenditure
justice,2020-21,administration of justice__null__other expenditure__law research institute eastern region,2014__0__800__313,45.36,73.21,73.21,50.11,level_4,administration of justice__other expenditure__law research institute eastern region,4,4,Administration Of Justice - Other Expenditure - Law Research Institute Eastern Region,other expenditure
justice,2021-22,administration of justice__null__other expenditure__law research institute eastern region,2014__0__800__313,44.760000000000005,50.11,50.11,78.61,level_4,administration of justice__other expenditure__law research institute eastern region,4,4,Administration Of Justice - Other Expenditure - Law Research Institute Eastern Region,other expenditure
justice,2018-19,"administration of justice__null__legal advisers and counsels__the national law school and judicial academy, assam",2014__0__114__2921,0,650,650,850,level_4,"administration of justice__legal advisers and counsels__the national law school and judicial academy, assam",4,4,"Administration Of Justice - Legal Advisers And Counsels - The National Law School And Judicial Academy, Assam",legal advisers and counsels
justice,2019-20,"administration of justice__null__legal advisers and counsels__the national law school and judicial academy, assam",2014__0__114__2921,1450,850,850,905,level_4,"administration of justice__legal advisers and counsels__the national law school and judicial academy, assam",4,4,"Administration Of Justice - Legal Advisers And Counsels - The National Law School And Judicial Academy, Assam",legal advisers and counsels
justice,2020-21,"administration of justice__null__legal advisers and counsels__the national law school and judicial academy, assam",2014__0__114__2921,850,905,905,981.15,level_4,"administration of justice__legal advisers and counsels__the national law school and judicial academy, assam",4,4,"Administration Of Justice - Legal Advisers And Counsels - The National Law School And Judicial Academy, Assam",legal advisers and counsels
justice,2021-22,"administration of justice__null__legal advisers and counsels__the national law school and judicial academy, assam",2014__0__114__2921,905,981.15,981.15,883.04,level_4,"administration of justice__legal advisers and counsels__the national law school and judicial academy, assam",4,4,"Administration Of Justice - Legal Advisers And Counsels - The National Law School And Judicial Academy, Assam",legal advisers and counsels
justice,2018-19,"administration of justice__null__other expenditure__judicial academy, assam",2014__0__800__4709,53.7,328.41999999999996,328.41999999999996,424.3,level_4,"administration of justice__other expenditure__judicial academy, assam",4,4,"Administration Of Justice - Other Expenditure - Judicial Academy, Assam","other expenditure - judicial academy, assam"
justice,2019-20,"administration of justice__null__other expenditure__judicial academy, assam",2014__0__800__4709,166.29,424.3,424.3,435.1,level_4,"administration of justice__other expenditure__judicial academy, assam",4,4,"Administration Of Justice - Other Expenditure - Judicial Academy, Assam","other expenditure - judicial academy, assam"
justice,2020-21,"administration of justice__null__other expenditure__judicial academy, assam",2014__0__800__4709,424.3,435.1,435.1,211.77,level_4,"administration of justice__other expenditure__judicial academy, assam",4,4,"Administration Of Justice - Other Expenditure - Judicial Academy, Assam","other expenditure - judicial academy, assam"
justice,2021-22,"administration of justice__null__other expenditure__judicial academy, assam",2014__0__800__4709,435.1,211.77,211.77,190.6,level_4,"administration of justice__other expenditure__judicial academy, assam",4,4,"Administration Of Justice - Other Expenditure - Judicial Academy, Assam","other expenditure - judicial academy, assam"
justice,2018-19,administration of justice__null__legal advisers and counsels__other lawyers,2014__0__114__203,0,2.5,2.5,2.75,level_4,administration of justice__legal advisers and counsels__other lawyers,4,4,Administration Of Justice - Legal Advisers And Counsels - Other Lawyers,legal advisers and counsels
justice,2019-20,administration of justice__null__legal advisers and counsels__other lawyers,2014__0__114__203,0,2.75,2.75,2.8,level_4,administration of justice__legal advisers and counsels__other lawyers,4,4,Administration Of Justice - Legal Advisers And Counsels - Other Lawyers,legal advisers and counsels
justice,2020-21,administration of justice__null__legal advisers and counsels__other lawyers,2014__0__114__203,0.2,2.8,2.8,2.7,level_4,administration of justice__legal advisers and counsels__other lawyers,4,4,Administration Of Justice - Legal Advisers And Counsels - Other Lawyers,legal advisers and counsels
justice,2021-22,administration of justice__null__legal advisers and counsels__other lawyers,2014__0__114__203,0,2.7,2.7,2.43,level_4,administration of justice__legal advisers and counsels__other lawyers,4,4,Administration Of Justice - Legal Advisers And Counsels - Other Lawyers,legal advisers and counsels
justice,2018-19,administration of justice__null__other expenditure__legal aid to the poor,2014__0__800__185,575.5899999999999,1077.30355,1095.82355,1114.5095000000001,level_4,administration of justice__other expenditure__legal aid to the poor,4,4,Administration Of Justice - Other Expenditure - Legal Aid To The Poor,other expenditure - legal aid to the poor
justice,2019-20,administration of justice__null__other expenditure__legal aid to the poor,2014__0__800__185,653.72,1114.5095000000001,1114.5095000000001,1238.1799999999998,level_4,administration of justice__other expenditure__legal aid to the poor,4,4,Administration Of Justice - Other Expenditure - Legal Aid To The Poor,other expenditure - legal aid to the poor
justice,2020-21,administration of justice__null__other expenditure__legal aid to the poor,2014__0__800__185,803.9,1238.1799999999998,1587.6299999999999,1300.65,level_4,administration of justice__other expenditure__legal aid to the poor,4,4,Administration Of Justice - Other Expenditure - Legal Aid To The Poor,other expenditure - legal aid to the poor
justice,2021-22,administration of justice__null__other expenditure__legal aid to the poor,2014__0__800__185,926.95,1300.65,1677.71,1684.97,level_4,administration of justice__other expenditure__legal aid to the poor,4,4,Administration Of Justice - Other Expenditure - Legal Aid To The Poor,other expenditure - legal aid to the poor
justice,2018-19,administration of justice__null__other expenditure__law commission,2014__0__800__311,20.93,35.88,37.38,32.23,level_4,administration of justice__other expenditure__law commission,4,4,Administration Of Justice - Other Expenditure - Law Commission,other expenditure -law commission
justice,2019-20,administration of justice__null__other expenditure__law commission,2014__0__800__311,11.59,32.23,32.23,31.17,level_4,administration of justice__other expenditure__law commission,4,4,Administration Of Justice - Other Expenditure - Law Commission,other expenditure -law commission
justice,2020-21,administration of justice__null__other expenditure__law commission,2014__0__800__311,9.18,31.17,32.17,28.27,level_4,administration of justice__other expenditure__law commission,4,4,Administration Of Justice - Other Expenditure - Law Commission,other expenditure -law commission
justice,2021-22,administration of justice__null__other expenditure__law commission,2014__0__800__311,11.17,28.27,34.67,31.5,level_4,administration of justice__other expenditure__law commission,4,4,Administration Of Justice - Other Expenditure - Law Commission,other expenditure -law commission
justice,2018-19,administration of justice__null__other expenditure__translation of central laws,2014__0__800__312,65.99,158.71,158.79797,103.86,level_4,administration of justice__other expenditure__translation of central laws,4,4,Administration Of Justice - Other Expenditure - Translation Of Central Laws,other expenditure - translation of central laws
