budget_for,year,head_title,level_code,total_actuals,total_estimate_py,total_revised_py,total_estimate_cy,level_col,head_title_updated,level_num,min_level,ref_id,display_title,category,slug
justice,2019-20,administration of justice__null__high courts__judges,2014__0__102__304,5.7303999999999995,11.5,11.5,12.48,level_4,administration of justice__high courts__judges,4,4,399,Administration Of Justice -> High Courts -> Judges,high courts,administration_of_justice_high_courts_judges
justice,2020-21,administration of justice__null__high courts__judges,2014__0__102__304,6.910699999999999,12.48,12.48,10.9079,level_4,administration of justice__high courts__judges,4,4,400,Administration Of Justice -> High Courts -> Judges,high courts,administration_of_justice_high_courts_judges
justice,2021-22,administration of justice__null__high courts__judges,2014__0__102__304,8.125499999999999,10.9079,10.9079,14.1345,level_4,administration of justice__high courts__judges,4,4,401,Administration Of Justice -> High Courts -> Judges,high courts,administration_of_justice_high_courts_judges
justice,2018-19,administration of justice__null__civil and session courts__upgradation of standard of administration-14th finance commission,2014__0__105__6864,0,44.7362,44.7362,53.0512,level_4,administration of justice__civil and session courts__upgradation of standard of administration-14th finance commission,4,4,410,Administration Of Justice -> Civil And Session Courts -> Upgradation Of Standard Of Administration-14th Finance Commission,civil and sessions court,administration_of_justice_civil_and_session_courts_upgradation_of_standard_of_administration-14th_finance_commission
justice,2019-20,administration of justice__null__civil and session courts__upgradation of standard of administration-14th finance commission,2014__0__105__6864,1.8956,53.0512,53.0512,0,level_4,administration of justice__civil and session courts__upgradation of standard of administration-14th finance commission,4,4,411,Administration Of Justice -> Civil And Session Courts -> Upgradation Of Standard Of Administration-14th Finance Commission,civil and sessions court,administration_of_justice_civil_and_session_courts_upgradation_of_standard_of_administration-14th_finance_commission
justice,2020-21,administration of justice__null__civil and session courts__upgradation of standard of administration-14th finance commission,2014__0__105__6864,5.4639,0,2.9312,17.205,level_4,administration of justice__civil and session courts__upgradation of standard of administration-14th finance commission,4,4,412,Administration Of Justice -> Civil And Session Courts -> Upgradation Of Standard Of Administration-14th Finance Commission,civil and sessions court,administration_of_justice_civil_and_session_courts_upgradation_of_standard_of_administration-14th_finance_commission
justice,2021-22,administration of justice__null__civil and session courts__upgradation of standard of administration-14th finance commission,2014__0__105__6864,2.6620999999999997,17.205,17.205,0,level_4,administration of justice__civil and session courts__upgradation of standard of administration-14th finance commission,4,4,413,Administration Of Justice -> Civil And Session Courts -> Upgradation Of Standard Of Administration-14th Finance Commission,civil and sessions court,administration_of_justice_civil_and_session_courts_upgradation_of_standard_of_administration-14th_finance_commission
justice,2018-19,administration of justice__null__legal advisers and counsels__government pleader,2014__0__114__168,1.4524,5.494,5.494,6.0237,level_4,administration of justice__legal advisers and counsels__government pleader,4,4,414,Administration Of Justice -> Legal Advisers And Counsels -> Government Pleader,legal advisers and counsels - government pleader,administration_of_justice_legal_advisers_and_counsels_government_pleader
justice,2019-20,administration of justice__null__legal advisers and counsels__government pleader,2014__0__114__168,1.9335,6.0237,6.0337,6.1751,level_4,administration of justice__legal advisers and counsels__government pleader,4,4,415,Administration Of Justice -> Legal Advisers And Counsels -> Government Pleader,legal advisers and counsels - government pleader,administration_of_justice_legal_advisers_and_counsels_government_pleader
justice,2020-21,administration of justice__null__legal advisers and counsels__government pleader,2014__0__114__168,1.7932,6.1751,6.4551,4.2341,level_4,administration of justice__legal advisers and counsels__government pleader,4,4,416,Administration Of Justice -> Legal Advisers And Counsels -> Government Pleader,legal advisers and counsels - government pleader,administration_of_justice_legal_advisers_and_counsels_government_pleader
justice,2021-22,administration of justice__null__legal advisers and counsels__government pleader,2014__0__114__168,2.0862,4.2341,4.2341,3.8174,level_4,administration of justice__legal advisers and counsels__government pleader,4,4,417,Administration Of Justice -> Legal Advisers And Counsels -> Government Pleader,legal advisers and counsels - government pleader,administration_of_justice_legal_advisers_and_counsels_government_pleader
justice,2018-19,administration of justice__null__legal advisers and counsels__public prosecutor.,2014__0__114__219,8.2615,22.1121,22.1121,24.255,level_4,administration of justice__legal advisers and counsels__public prosecutor.,4,4,418,Administration Of Justice -> Legal Advisers And Counsels -> Public Prosecutor.,legal advisers and counsels - public prosecutor,administration_of_justice_legal_advisers_and_counsels_public_prosecutor.
justice,2019-20,administration of justice__null__legal advisers and counsels__public prosecutor.,2014__0__114__219,15.5075,24.255,24.285,25.7075,level_4,administration of justice__legal advisers and counsels__public prosecutor.,4,4,419,Administration Of Justice -> Legal Advisers And Counsels -> Public Prosecutor.,legal advisers and counsels - public prosecutor,administration_of_justice_legal_advisers_and_counsels_public_prosecutor.
justice,2020-21,administration of justice__null__legal advisers and counsels__public prosecutor.,2014__0__114__219,15.0996,25.7075,27.0075,25.9411,level_4,administration of justice__legal advisers and counsels__public prosecutor.,4,4,420,Administration Of Justice -> Legal Advisers And Counsels -> Public Prosecutor.,legal advisers and counsels - public prosecutor,administration_of_justice_legal_advisers_and_counsels_public_prosecutor.
justice,2021-22,administration of justice__null__legal advisers and counsels__public prosecutor.,2014__0__114__219,19.8611,25.9411,25.9411,20.4558,level_4,administration of justice__legal advisers and counsels__public prosecutor.,4,4,421,Administration Of Justice -> Legal Advisers And Counsels -> Public Prosecutor.,legal advisers and counsels - public prosecutor,administration_of_justice_legal_advisers_and_counsels_public_prosecutor.
justice,2018-19,administration of justice__null__legal advisers and counsels__government advocate.,2014__0__114__287,4.6536,11.168,11.168,10.2158,level_4,administration of justice__legal advisers and counsels__government advocate.,4,4,422,Administration Of Justice -> Legal Advisers And Counsels -> Government Advocate.,legal advisers and counsels,administration_of_justice_legal_advisers_and_counsels_government_advocate.
justice,2019-20,administration of justice__null__legal advisers and counsels__government advocate.,2014__0__114__287,5.3508,10.2158,10.2158,11.2948,level_4,administration of justice__legal advisers and counsels__government advocate.,4,4,423,Administration Of Justice -> Legal Advisers And Counsels -> Government Advocate.,legal advisers and counsels,administration_of_justice_legal_advisers_and_counsels_government_advocate.
justice,2020-21,administration of justice__null__legal advisers and counsels__government advocate.,2014__0__114__287,6.6891,11.2948,11.2968,10.8154,level_4,administration of justice__legal advisers and counsels__government advocate.,4,4,424,Administration Of Justice -> Legal Advisers And Counsels -> Government Advocate.,legal advisers and counsels,administration_of_justice_legal_advisers_and_counsels_government_advocate.
justice,2021-22,administration of justice__null__legal advisers and counsels__government advocate.,2014__0__114__287,6.2875,10.8154,10.9554,11.311,level_4,administration of justice__legal advisers and counsels__government advocate.,4,4,425,Administration Of Justice -> Legal Advisers And Counsels -> Government Advocate.,legal advisers and counsels,administration_of_justice_legal_advisers_and_counsels_government_advocate.
justice,2018-19,administration of justice__null__legal advisers and counsels__advocate general,2014__0__114__306,1.2944,2.379,2.5540000000000003,2.301,level_4,administration of justice__legal advisers and counsels__advocate general,4,4,426,Administration Of Justice -> Legal Advisers And Counsels -> Advocate General,legal advisers and counsels,administration_of_justice_legal_advisers_and_counsels_advocate_general
justice,2019-20,administration of justice__null__legal advisers and counsels__advocate general,2014__0__114__306,2.1277,2.301,2.4524,2.7331,level_4,administration of justice__legal advisers and counsels__advocate general,4,4,427,Administration Of Justice -> Legal Advisers And Counsels -> Advocate General,legal advisers and counsels,administration_of_justice_legal_advisers_and_counsels_advocate_general
justice,2020-21,administration of justice__null__legal advisers and counsels__advocate general,2014__0__114__306,1.5381,2.7331,3.0806,1.6105,level_4,administration of justice__legal advisers and counsels__advocate general,4,4,428,Administration Of Justice -> Legal Advisers And Counsels -> Advocate General,legal advisers and counsels,administration_of_justice_legal_advisers_and_counsels_advocate_general
justice,2021-22,administration of justice__null__legal advisers and counsels__advocate general,2014__0__114__306,2.1605,1.6105,2.5105,2.5153,level_4,administration of justice__legal advisers and counsels__advocate general,4,4,429,Administration Of Justice -> Legal Advisers And Counsels -> Advocate General,legal advisers and counsels,administration_of_justice_legal_advisers_and_counsels_advocate_general
justice,2018-19,administration of justice__null__legal advisers and counsels__legal remembrances,2014__0__114__307,0.35450000000000004,0.5075,0.5475,0.6509999999999999,level_4,administration of justice__legal advisers and counsels__legal remembrances,4,4,430,Administration Of Justice -> Legal Advisers And Counsels -> Legal Remembrances,legal advisers and counsels,administration_of_justice_legal_advisers_and_counsels_legal_remembrances
justice,2019-20,administration of justice__null__legal advisers and counsels__legal remembrances,2014__0__114__307,0.3942,0.6509999999999999,0.7079000000000001,0.6723,level_4,administration of justice__legal advisers and counsels__legal remembrances,4,4,431,Administration Of Justice -> Legal Advisers And Counsels -> Legal Remembrances,legal advisers and counsels,administration_of_justice_legal_advisers_and_counsels_legal_remembrances
justice,2020-21,administration of justice__null__legal advisers and counsels__legal remembrances,2014__0__114__307,0.6501,0.6723,0.6723,0.6707000000000001,level_4,administration of justice__legal advisers and counsels__legal remembrances,4,4,432,Administration Of Justice -> Legal Advisers And Counsels -> Legal Remembrances,legal advisers and counsels,administration_of_justice_legal_advisers_and_counsels_legal_remembrances
justice,2021-22,administration of justice__null__legal advisers and counsels__legal remembrances,2014__0__114__307,0.5132,0.6707000000000001,0.6722,1.1659,level_4,administration of justice__legal advisers and counsels__legal remembrances,4,4,433,Administration Of Justice -> Legal Advisers And Counsels -> Legal Remembrances,legal advisers and counsels,administration_of_justice_legal_advisers_and_counsels_legal_remembrances
justice,2018-19,administration of justice__null__legal advisers and counsels__counsel for supreme court,2014__0__114__308,1.6965,4.0889999999999995,4.0889999999999995,4.494,level_4,administration of justice__legal advisers and counsels__counsel for supreme court,4,4,434,Administration Of Justice -> Legal Advisers And Counsels -> Counsel For Supreme Court,legal advisers and counsels - counsel for supreme court,administration_of_justice_legal_advisers_and_counsels_counsel_for_supreme_court
